time,field,skynoise,zp,rcid,band,programid,ra,dec,i,j,ra_quad,dec_quad,healpixID
2458435.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458437.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458439.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458441.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458443.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458445.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458447.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458449.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458451.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458453.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458455.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458457.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458459.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458461.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458463.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458465.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458467.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
2458469.0,401,30.692339655985883,26.275,45,ztfg,1.0,33.398438,-1.193748,0,-1.0,33.706826,-1.377433,70905
